gamma,beta,lambda_1,lambda_2,lambda_3,n,mean_delta,std_delta,lcb,t_stat,p_value,caa_sharpe_mean,aa_sharpe_mean,p_fdr
14.974427634850144,1.097100535593927,7.36472644181922,176.25438563153148,8.36139495326206,40.0,0.0900884645383532,0.18460735504007753,0.019280614228626994,3.086385575338082,0.003718849316841588,2.9318274043052113,2.841738939766858,0.005822785474687746
3.98589176684618,4.374499195907265,8.211580872442573,77.57910369616002,17.195500668603927,40.0,0.04220624273241554,0.06197208072835109,0.018436280724982466,4.307354439087039,0.00010809218704113549,3.0716499472045387,3.029443704472123,0.00020497481394467175
13.08099580835551,3.7949461158365017,8.644331990275532,48.40969603229314,20.831512593198568,40.0,0.03288452682337761,0.04055583014867589,0.017328964859279837,5.1282394742039346,8.349623932157765e-06,3.095637798048834,3.0627532712254566,1.925679033002151e-05
13.042831856757402,2.218997147213668,7.377289722766727,166.5183124365285,6.101902774255723,40.0,0.08157381796884068,0.17098536669812608,0.015990806676109956,3.0173232622056183,0.0044752813069983376,2.8336458107253177,2.7520719927564774,0.0069224895141484855
13.882411169819534,3.6678819214925173,2.442937263287604,26.68280622549355,2.2409627085551618,40.0,0.05859790345073858,0.11183770654099291,0.015701521656965887,3.3137811342197625,0.0019944809002685523,2.867988821755937,2.8093909183051986,0.0032521472004378945
11.57335045747459,2.1033121013082567,1.8521616907790304,145.99867711402476,17.58737347610295,40.0,0.05720363520062146,0.10931554206243108,0.01527465280876178,3.3095710685318056,0.0020179793666938004,3.6695894679933714,3.612385832792751,0.0032800172563403995
19.28727835789323,3.5535417652688923,3.903319645021111,66.7853306364268,4.096717105805873,40.0,0.06472433829262803,0.13138918937590854,0.014328805288940968,3.115573359180611,0.003436917075672996,2.9051482562639825,2.8404239179713544,0.005431177601063499
9.55609878897667,2.528873307164759,9.374305259622634,199.39741229172796,12.06308298120275,40.0,0.06868180910863232,0.14532934015975163,0.012939402954722817,2.98894841696016,0.004826223115824893,2.97284322111238,2.9041614120037478,0.007442850106332366
2.966927553527057,0.948350649420172,1.6292048936709762,163.77868530992419,15.87764532007277,40.0,0.0662743547287698,0.14105998481827994,0.012169499114882541,2.971472195617367,0.005055069824835457,3.6087239250266636,3.5424495702978938,0.007772359610557819
3.6478082444518805,0.7704570800065994,9.887522502895445,53.80009339842945,7.2946523050777605,40.0,0.029055067344488827,0.06311765375490265,0.004845710257887246,2.9113943536289337,0.005921828049948044,2.7708053192993622,2.7417502519548735,0.009050674512159398
9.594391419552267,4.107220804691314,5.632187387347221,19.004510446451604,14.486580688413232,40.0,0.013444025041948304,0.026432661949709092,0.0033055342422926154,3.2167581255179085,0.0026081592210784772,3.134411411894356,3.1209673868524077,0.004199300381107485
