combo_id,distance,dist_return,dist_risk,mean_d_return,mean_d_risk,caa_return_mean,aa_return_mean,caa_risk_mean,aa_risk_mean,caa_sharpe_mean,aa_sharpe_mean,n,gamma,beta,lambda_1,lambda_2,lambda_3
258,0.16404992643363672,0.15286259248206577,0.05954331349986757,-0.0042878805388478795,0.0007577099358494286,0.8306195780819241,0.8349074586207721,0.05900874305169963,0.058251033115850205,3.421135181518398,3.4613183607342166,40,18.009977914392948,4.434091398399323,8.5107616760768,61.109282556921244,36.91912104208022
69,0.16465300852386103,0.14350503434432577,0.08072743234980621,0.011164114607321298,0.0016656792477852001,0.7549917986257528,0.7438276840184316,0.04558033937576561,0.04391466012798041,3.543136741355439,3.559711554369412,40,17.08718106430024,2.129113254044205,8.117701106052845,177.65148783940822,42.789348018169406
499,0.16483971057611996,0.13350866401624953,0.09668281551245386,0.01612983940219111,0.0031377406236162467,0.8400278518102251,0.8238980124080341,0.06129081120408577,0.05815307058046952,3.3964123112669227,3.4234541679917867,40,5.674640515819192,1.4083057590760293,1.9122718966566028,26.176897577010095,8.012423506565392
389,0.1702944802334597,0.12239648098953254,0.11840317326559786,0.02565679399588877,0.006924688383301622,0.9867498150711704,0.9610930210752816,0.10101142163203099,0.09408673324872936,3.1067987480898167,3.1356085068579196,40,17.460897462442517,0.2667264083400369,9.215247592050583,63.39233784284443,23.653619229327887
160,0.17082605654095567,0.12634036336158025,0.11497675495071888,0.06860467409723622,0.015049264518477785,0.9279379251114225,0.8593332510141861,0.08580418516225477,0.070754920643777,3.1696094747506143,3.238392025110693,40,8.631918869912624,4.235815211664885,7.716149318590761,184.2831752039492,24.010220844950528
32,0.17085424058779214,0.1427636415901031,0.0938600775983258,0.04059626684581385,0.006777267614276511,0.8174089196155444,0.7768126527697305,0.05818325752875568,0.051405989914479165,3.3928451915285422,3.435109352138525,40,8.478112490847707,3.466132497042418,5.9885204986669125,170.71138639748096,26.371634672023358
73,0.17213461967750074,0.12290514399547568,0.12051826778944845,0.05409551661555987,0.012117112068787716,0.9849833718943775,0.9308878552788176,0.1013266828989837,0.08920957083019596,3.0971039439598194,3.1215940502653425,40,11.256591564975679,1.3285320107825103,5.094023115839809,86.55488138552755,12.3519032667391
395,0.17305813491182942,0.10427505401933505,0.1381152821682876,0.03723032422495,0.006299478869592812,1.0077123003852002,0.9704819761602501,0.10982159894148968,0.10352212007189684,3.04280128077536,3.0222867144285415,40,1.580014138482511,1.5367030784487725,9.545711260102689,140.0725732287392,18.14195428574458
120,0.1730915372918789,0.14670899049721506,0.09185397318218719,0.022034185481361566,0.004299641605723342,0.800200421957809,0.7781662364764474,0.054351404325879746,0.05005176272015641,3.433521190405395,3.4900372726978235,40,7.356638360768557,4.054687051754445,8.56666720584035,168.68486042041332,40.20936337001622
129,0.173308439029943,0.1488012994422035,0.08884811941345276,0.007045179393753323,0.0012779944769553448,0.7637636290477617,0.7567184496540085,0.047294155107440464,0.046016160630485116,3.5190238522281945,3.5364980994084845,40,12.90033153258264,0.5877351336181165,8.786026894114912,179.37585677299649,44.279687660746276
